agency_id,agency,agency_name
1,HPD,Department of Housing Preservation and Development
2,NYPD,New York City Police Department
3,DSNY,Department of Sanitation
4,DCWP,Department of Consumer and Worker Protection
5,DEP,Department of Environmental Protection
6,DOB,Department of Buildings
7,DOT,Department of Transportation
8,EDC,Economic Development Corporation
9,DOHMH,Department of Health and Mental Hygiene
10,DPR,Department of Parks and Recreation
11,TLC,Taxi and Limousine Commission
12,DOE,Department of Education
13,OOS,Office of the Sheriff
14,DHS,Department of Homeless Services
15,OTI,Office of Technology and Innovation
